,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DCAF8L1,0.051445989884633926,-0.08826108229028606,1.1155434811484912,-0.07911935642295016,0.9369376875757441,
LOC105373151,0.17180642517044206,-0.31582389564047875,0.4865955960398593,-0.6490479942909473,0.5163073548831133,
LOC105373152,0.022882538858827562,-0.20749746400328856,1.9084114172360385,-0.10872784669450791,0.913418354318188,
MIR6134,0.0,,,,,
IL1RAPL1,3.3799470213913523,-0.04336453705472723,0.09458032396425049,-0.4584942748886986,0.646597374717675,0.7726885794162263
MIR4666B,0.0,,,,,
LOC107985632,0.0,,,,,
MAGEB2,0.4046814103800742,-0.12932752401599437,0.2917020068085596,-0.44335493413615906,0.657509027091725,0.7805405068792587
MAGEB3,0.02470534920701165,-0.10241047671079839,1.777153042533087,-0.057626143759023904,0.9540464245636682,
MAGEB4,0.1005208983104978,-0.2345926826085166,0.7339278856094272,-0.3196399635554375,0.749241275876437,
MAGEB1,0.018802539084512848,-0.1786789274817748,1.937469449763485,-0.09222283608321509,0.9265209947877536,
NR0B1,3.9458332998275285,0.7049819385399105,0.15163211255253034,4.649291806810919,3.3307669952545433e-06,3.1775366275013256e-05
TASL,94.62897043863765,0.39425274623092504,0.08635471660629573,4.5655033300425645,4.9829728604962925e-06,4.535120484886256e-05
GK,223.3144271772173,0.2506231275912189,0.0695870105072568,3.6015791706569,0.00031629006898933453,0.0017211222650595122
TAB3,904.0353767811848,-0.040915029415397895,0.02361127286642741,-1.7328599625636656,0.08312056200797369,0.17660309234055296
TAB3-AS1,6.00409272709006,-0.0012643093550474339,0.06751654004729503,-0.01872592040649285,0.9850597503841637,0.992321992838286
FTHL17,0.006314180958986023,-0.20873801996449218,2.9063054820192855,-0.07182246369348005,0.942743195542581,
DMD,2819.006244186729,-0.09223545958420101,0.04000928967023843,-2.3053510908195873,0.021146918322573878,0.05996541277969598
MIR3915,0.007091733197570701,-0.14823212360063512,2.9060912360870343,-0.051007388123239135,0.9593196333426771,
MIR548F5,0.005031161324911119,-0.17844551050781318,2.9063060279212998,-0.06139942208200427,0.9510411126048738,
LOC105373153,0.023726918164926593,-0.08780343132014173,2.206603681452624,-0.03979121038279972,0.968259583781525,
FAM47A,0.0,,,,,
LOC107985674,0.0,,,,,
TMEM47,2385.311913118332,-0.041219242947703134,0.027805630638807758,-1.4824063328444805,0.13823220993970312,0.25966480319199403
FAM47B,0.006005836413543477,-0.17844551050781254,2.9063060279212998,-0.061399422082004045,0.9510411126048739,
MAGEB16,0.005125916819595471,-0.17844551050781382,2.9063060279212998,-0.06139942208200449,0.9510411126048736,
CFAP47,6.849156915536895,-0.2550513378533684,0.08474901181321887,-3.0094904046254185,0.002616863445914367,0.010531741407550546
