,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RDH16,36.06687206565751,-0.02469293794117342,0.11997551692557712,-0.20581647467700326,0.836934271771657,0.9077453196567911
GPR182,23.412729676874022,0.3371586978076668,0.18630745674034457,1.8096897660814646,0.0703439104453484,0.19536358526938497
ZBTB39,338.81257358419634,0.06504071335955955,0.05694224874520304,1.142222423469687,0.2533615775615031,0.4434686813298511
TAC3,1.580953164280737,0.02033590025167852,0.22420980949410893,0.09070031457393857,0.927730720669342,0.9604812122868689
MYO1A,5.642635688508305,-0.3217534800812432,0.14683331661547008,-2.1912838822803233,0.028431255683913706,0.10831149169390597
NEMP1,919.4404325156614,0.05633966780344516,0.08953081151809608,0.6292768584149124,0.5291678188989333,0.7013086638758964
NAB2,476.67967394565756,0.06831416271171846,0.0740479663356244,0.9225663592445291,0.356233233636707,0.5496443470034289
STAT6,5136.476952081561,-0.056965531141453155,0.04296820659560891,-1.325760036428299,0.18491919418879577,0.362440625952907
LRP1,16154.994043600482,-0.4821522396878439,0.15102795711323477,-3.192470115492228,0.001410615405863799,0.01711942118914888
LRP1-AS,59.877853984319216,-0.5010746297669152,0.1881462973328642,-2.663218127967861,0.007739722488569912,0.04725039796111026
MIR1228,0.13238689538590453,-0.148576916240752,0.7987340493899672,-0.18601550335086825,0.8524326035959968,
NXPH4,18.420064223563937,-0.3097358048125989,0.1736854789050096,-1.7833143378785086,0.07453514872809341,0.202868182169159
SHMT2,807.1271856393029,0.26409059332383983,0.08273394970505736,3.1920462429910623,0.0014126871385008552,0.017130300654924473
NDUFA4L2,215.40141297460394,-0.5347781132410134,0.1783836894542692,-2.997909253234222,0.0027183860346435057,0.025002888146491428
STAC3,79.80377251977686,0.07979699047031193,0.11269045882248058,0.7081077786364754,0.4788783294437021,0.6614443109032627
R3HDM2,1808.662731068037,0.008362476611140111,0.06628576604928199,0.12615795380448339,0.899606893375523,0.9449567796479486
INHBC,2.166606374578581,0.09727948862456283,0.21446289196206864,0.45359590059882404,0.6501197045927813,0.789961799364688
INHBE,4.263076837295829,-0.35491493555861214,0.15556966666481842,-2.281389059753478,0.022525434842637707,0.09322281093953554
GLI1,82.52692311626525,-0.41470040083204174,0.11068889706438521,-3.746540184521126,0.00017929029372482983,0.005020644911020667
ARHGAP9,248.47849309336868,-0.2562757084163903,0.13974890930448067,-1.8338297571827527,0.06667926906856333,0.18840922036463412
MARS1,1686.8263092576883,-0.03626391112773564,0.05740920458419734,-0.631674160796817,0.5275998157712574,0.6998253733242902
MIR6758,22.92605800195619,0.054710152006672806,0.1320189862376617,0.4144112416390104,0.6785729574398982,0.8091012814485815
DDIT3,595.5156312310996,-0.1314353246169047,0.07571165377780693,-1.7359985954425396,0.08256408291294366,0.21593244562628625
MIR616,5.917289706188037,-0.4000897248553557,0.16324961326633677,-2.450785131126905,0.014254501565198101,0.0695889004458021
MBD6,2061.557247074301,-0.09078498657427042,0.09461589403103739,-0.9595109521925534,0.33730140493724914,0.5307499328147333
DCTN2,2479.519980522557,0.0074231725729327755,0.04874631820095799,0.15228170756057,0.8789647519024515,0.9325110928765147
KIF5A,92.26540950615663,0.45636870875114977,0.22966838028587208,1.9870767938673142,0.04691388743562935,0.1500583108466795
PIP4K2C,821.2732879068478,0.2905829968166531,0.08643522226259624,3.361858617472419,0.0007741975269716368,0.012205037608108182
